DATE,A4102C1Q027SBEA
1947-01-01,118.795
1947-04-01,121.191
1947-07-01,123.919
1947-10-01,128.198
1948-01-01,131.579
1948-04-01,133.292
1948-07-01,137.971
1948-10-01,139.015
1949-01-01,136.684
1949-04-01,134.947
1949-07-01,133.925
1949-10-01,133.144
1950-01-01,136.792
1950-04-01,142.964
1950-07-01,150.947
1950-10-01,157.996
1951-01-01,165.319
1951-04-01,170.979
1951-07-01,173.48
1951-10-01,176.591
1952-01-01,181.004
1952-04-01,182.118
1952-07-01,185.95
1952-10-01,193.464
1953-01-01,197.076
1953-04-01,200.034
1953-07-01,200.153
1953-10-01,198.722
1954-01-01,196.458
1954-04-01,196.014
1954-07-01,196.391
1954-10-01,200.417
1955-01-01,204.126
1955-04-01,209.921
1955-07-01,215.316
1955-10-01,219.521
1956-01-01,223.364
1956-04-01,227.583
1956-07-01,230.035
1956-10-01,235.449
1957-01-01,238.344
1957-04-01,239.695
1957-07-01,241.907
1957-10-01,240.17
1958-01-01,236.796
1958-04-01,236.348
1958-07-01,243.909
1958-10-01,248.504
1959-01-01,254.092
1959-04-01,260.637
1959-07-01,260.98
1959-10-01,263.983
1960-01-01,270.904
1960-04-01,273.553
1960-07-01,274.119
1960-10-01,273.463
1961-01-01,273.933
1961-04-01,277.777
1961-07-01,282.396
1961-10-01,288.547
1962-01-01,293.371
1962-04-01,298.842
1962-07-01,301.27
1962-10-01,304.329
1963-01-01,308.025
1963-04-01,312.419
1963-07-01,316.908
1963-10-01,322.303
1964-01-01,328.276
1964-04-01,334.887
1964-07-01,341.463
1964-10-01,346.741
1965-01-01,352.809
1965-04-01,358.872
1965-07-01,366.21
1965-10-01,377.116
1966-01-01,385.739
1966-04-01,395.879
1966-07-01,406.108
1966-10-01,413.461
1967-01-01,418.811
1967-04-01,423.574
1967-07-01,431.979
1967-10-01,441.553
1968-01-01,454.198
1968-04-01,465.911
1968-07-01,478.318
1968-10-01,489.411
1969-01-01,499.046
1969-04-01,511.36
1969-07-01,526.409
1969-10-01,536.429
1970-01-01,545.075
1970-04-01,549.043
1970-07-01,555.699
1970-10-01,556.331
1971-01-01,570.492
1971-04-01,580.428
1971-07-01,588.769
1971-10-01,598.421
1972-01-01,618.472
1972-04-01,630.374
1972-07-01,642.326
1972-10-01,663.971
1973-01-01,683.364
1973-04-01,700.201
1973-07-01,716.177
1973-10-01,735.356
1974-01-01,748.203
1974-04-01,765.319
1974-07-01,783.153
1974-10-01,792.541
1975-01-01,791.963
1975-04-01,800.41
1975-07-01,821.336
1975-10-01,845.815
1976-01-01,871.255
1976-04-01,889.419
1976-07-01,908.489
1976-10-01,929.965
1977-01-01,950.105
1977-04-01,980.97
1977-07-01,1007.568
1977-10-01,1038.237
1978-01-01,1063.944
1978-04-01,1106.141
1978-07-01,1138.095
1978-10-01,1174.495
1979-01-01,1208.636
1979-04-01,1234.452
1979-07-01,1269.457
1979-10-01,1300.996
1980-01-01,1333.875
1980-04-01,1353.977
1980-07-01,1377.4
1980-10-01,1428.827
1981-01-01,1467.818
1981-04-01,1496.839
1981-07-01,1530.725
1981-10-01,1550.733
1982-01-01,1567.744
1982-04-01,1581.934
1982-07-01,1596.627
1982-10-01,1604.532
1983-01-01,1622.636
1983-04-01,1654.848
1983-07-01,1691.575
1983-10-01,1741.685
1984-01-01,1784.233
1984-04-01,1828.356
1984-07-01,1867.257
1984-10-01,1900.656
1985-01-01,1932.369
1985-04-01,1963.845
1985-07-01,1997.626
1985-10-01,2037.22
1986-01-01,2065.464
1986-04-01,2083.631
1986-07-01,2113.131
1986-10-01,2154.242
1987-01-01,2194.256
1987-04-01,2231.434
1987-07-01,2271.965
1987-10-01,2332.835
1988-01-01,2367.096
1988-04-01,2422.462
1988-07-01,2463.571
1988-10-01,2509.467
1989-01-01,2541.872
1989-04-01,2564.689
1989-07-01,2593.525
1989-10-01,2637.258
1990-01-01,2686.591
1990-04-01,2741.034
1990-07-01,2771.624
1990-10-01,2774.773
1991-01-01,2774.065
1991-04-01,2802.805
1991-07-01,2830.887
1991-10-01,2861.159
1992-01-01,2915.852
1992-04-01,2954.982
1992-07-01,2979.434
1992-10-01,3023.755
1993-01-01,3019.044
1993-04-01,3069.757
1993-07-01,3096.91
1993-10-01,3144.931
1994-01-01,3156.632
1994-04-01,3227.404
1994-07-01,3262.723
1994-10-01,3315.659
1995-01-01,3362.141
1995-04-01,3399.263
1995-07-01,3442.968
1995-10-01,3484.076
1996-01-01,3528.308
1996-04-01,3594.02
1996-07-01,3651.335
1996-10-01,3708.714
1997-01-01,3780.52
1997-04-01,3839.988
1997-07-01,3907.42
1997-10-01,3997.056
1998-01-01,4079.287
1998-04-01,4149.93
1998-07-01,4222.021
1998-10-01,4293.478
1999-01-01,4372.655
1999-04-01,4416.915
1999-07-01,4480.152
1999-10-01,4590.98
2000-01-01,4758.656
2000-04-01,4786.604
2000-07-01,4878.79
2000-10-01,4905.668
2001-01-01,4987.238
2001-04-01,4969.261
2001-07-01,4944.066
2001-10-01,4945.952
2002-01-01,4953.879
2002-04-01,5006.446
2002-07-01,5020.511
2002-10-01,5035.549
2003-01-01,5035.694
2003-04-01,5109.829
2003-07-01,5177.406
2003-10-01,5264.906
2004-01-01,5283.996
2004-04-01,5390.75
2004-07-01,5502.469
2004-10-01,5546.092
2005-01-01,5586.072
2005-04-01,5649.387
2005-07-01,5749.835
2005-10-01,5826.679
2006-01-01,5983.062
2006-04-01,6024.19
2006-07-01,6073.028
2006-10-01,6192.991
2007-01-01,6354.735
2007-04-01,6381.396
2007-07-01,6407.743
2007-10-01,6485.268
2008-01-01,6552.34
2008-04-01,6544.069
2008-07-01,6558.017
2008-10-01,6529.371
2009-01-01,6234.589
2009-04-01,6262.793
2009-07-01,6245.162
2009-10-01,6286.581
2010-01-01,6240.243
2010-04-01,6368.23
2010-07-01,6430.527
2010-10-01,6481.441
2011-01-01,6584.872
2011-04-01,6615.89
2011-07-01,6689.659
2011-10-01,6645.66
2012-01-01,6844.206
2012-04-01,6884.319
2012-07-01,6914.235
2012-10-01,7101.772
2013-01-01,7052.213
2013-04-01,7111.514
2013-07-01,7121.511
2013-10-01,7205.135
2014-01-01,7382.742
2014-04-01,7417.71
2014-07-01,7504.129
2014-10-01,7630.555
2015-01-01,7745.245
2015-04-01,7838.032
2015-07-01,7911.878
2015-10-01,7966.777
2016-01-01,7993.682
2016-04-01,8037.531
2016-07-01,8119.483
2016-10-01,8222.703
2017-01-01,8338.016
2017-04-01,8409.008
2017-07-01,8520.215
2017-10-01,8601.685
2018-01-01,8724.153
