city,latitude,longitude,offset, timestamp
Berlin, 51.5, 13.3, 1, 2018-11-01 12:00:00
Chicago, 41.9, 87.6, -6, 2018-11-01 12:00:00
Kamchatka Peninsula, 56.3, 160.0, 12, 2018-11-01 12:00:00
London, 51.5, 0.0, 0, 2018-11-01 12:00:00
Los Angeles, 34.1, 118.3, -8, 2018-11-01 12:00:00
Midway Atoll, 28.2, 177.3, -11, 2018-11-01 12:00:00
Monrovia, 6.3, 10.8, 0, 2018-11-01 12:00:00
Moscow, 55.6, 37.6, 3, 2018-11-01 12:00:00
New York, 40.6, 70.0, -5, 2018-11-01 12:00:00
Omsk, 54.9, 73.3, 6, 2018-11-01 12:00:00
Rio de Janeiro, -22.8, 43.2, -3, 2018-11-01 12:00:00
Saint Petersburg, 59.9, 30.3, 3, 2018-11-01 12:00:00
Tokyo, 36.6, 149.6, 9, 2018-11-01 12:00:00
Tomsk, 56.5, 84.9, 6, 2018-11-01 12:00:00
Warsaw, 52.3, 21.0, 1, 2018-11-01 12:00:00